TO,LH,RH,LK,RK,LA,RA
432.37,409.68,579.00,312.00,712.00,0.00,0.00
432.72,410.23,579.00,312.00,712.00,0.00,0.00
433.07,410.77,579.00,312.00,712.00,0.00,0.00
433.41,411.31,579.00,312.00,712.00,0.00,0.00
433.75,411.84,579.00,312.00,712.00,0.00,0.00
434.09,412.36,579.00,312.00,712.00,0.00,0.00
434.42,412.88,579.00,312.00,712.00,0.00,0.00
434.75,413.39,579.00,312.00,712.00,0.00,0.00
435.08,413.89,579.00,312.00,712.00,0.00,0.00
435.40,414.39,579.00,312.00,712.00,0.00,0.00
436.45,414.88,579.00,312.00,712.00,0.00,0.00
437.48,415.36,579.00,312.00,712.00,0.00,0.00
438.64,415.84,579.00,312.00,712.00,0.00,0.00
439.96,416.33,579.00,312.00,712.00,0.00,0.00
441.43,416.84,579.00,312.00,712.00,0.00,0.00
443.06,417.38,579.00,312.00,712.00,0.00,0.00
444.88,417.96,579.00,312.00,712.00,0.00,0.00
446.88,418.58,579.00,312.00,712.00,0.00,0.00
449.10,419.25,579.00,312.00,712.00,0.00,0.00
451.54,419.99,579.00,312.00,712.00,0.00,0.00
454.23,420.78,579.00,312.00,712.00,0.00,0.00
457.18,421.65,579.00,312.00,712.00,0.00,0.00
460.42,422.59,579.37,312.00,712.00,0.00,0.00
463.97,423.62,580.27,312.00,712.00,0.00,0.00
467.86,424.74,581.26,312.00,712.00,0.00,0.00
472.12,425.96,582.37,312.00,712.00,0.00,0.00
476.78,427.29,583.59,312.00,712.00,0.00,0.00
481.88,428.73,584.94,312.00,712.00,0.00,0.00
487.45,430.30,586.43,312.00,712.00,0.00,0.00
493.53,432.02,588.06,312.00,712.00,0.00,0.00
500.17,433.88,589.86,312.00,712.00,0.00,0.00
507.42,435.91,591.83,312.00,712.00,0.00,0.00
515.32,438.12,593.98,312.00,712.00,0.00,0.00
523.94,440.52,596.35,312.00,712.00,0.00,0.00
533.33,443.14,598.93,312.00,712.00,0.00,0.00
543.56,445.00,601.76,312.00,712.00,0.00,0.00
554.71,445.00,604.85,312.00,712.00,0.00,0.00
566.85,445.00,608.23,312.00,709.63,0.00,0.00
580.07,445.00,611.91,312.00,703.61,0.00,0.00
594.46,445.00,615.92,312.00,697.04,0.00,0.00
610.12,445.00,620.30,312.00,689.87,0.00,0.00
624.44,445.00,625.08,312.00,682.05,0.00,0.00
633.31,445.00,630.28,312.00,673.54,0.00,0.00
641.25,445.00,635.89,312.00,664.37,0.00,0.00
648.34,445.00,641.76,312.00,654.78,0.00,0.00
654.66,445.00,647.78,312.00,644.96,0.00,0.00
660.28,445.00,653.84,312.00,635.09,0.00,0.00
665.27,445.00,659.86,312.00,625.29,0.00,0.00
669.69,445.00,665.78,312.00,615.68,0.00,0.00
673.59,445.00,671.55,312.00,606.34,0.00,0.00
677.02,445.00,677.11,312.00,597.35,0.00,0.00
680.02,445.00,682.44,312.00,588.77,0.00,0.00
682.64,445.00,683.00,312.00,580.63,0.00,0.00
684.92,445.00,683.00,312.00,572.97,0.00,0.00
686.88,445.00,683.00,312.00,565.80,0.00,0.00
688.55,445.00,683.00,312.00,559.14,0.00,0.00
689.97,445.00,683.00,312.00,553.00,0.00,0.00
691.16,445.00,683.00,312.00,547.38,0.00,0.00
692.13,445.00,683.00,312.00,544.00,0.00,0.00
692.92,445.00,683.00,312.00,544.00,0.00,0.00
693.53,445.00,683.00,312.00,544.00,0.00,0.00
693.99,445.00,683.00,312.00,544.00,0.00,0.00
694.31,445.00,683.00,312.00,544.00,0.00,0.00
694.51,445.00,683.00,312.00,544.00,0.00,0.00
694.59,445.00,683.00,312.00,544.00,0.00,0.00
694.57,445.00,683.00,312.00,544.00,0.00,0.00
694.47,445.00,683.00,312.00,544.00,0.00,0.00
694.27,445.00,683.00,312.00,544.00,0.00,0.00
694.01,445.00,683.00,312.00,544.00,0.00,0.00
693.68,445.00,683.00,312.00,544.00,0.00,0.00
693.29,445.00,683.00,312.00,544.00,0.00,0.00
692.84,445.00,683.00,312.00,544.00,0.00,0.00
692.35,445.00,683.00,312.00,544.00,0.00,0.00
691.82,445.00,683.00,312.00,544.00,0.00,0.00
691.25,445.00,683.00,312.00,544.00,0.00,0.00
690.65,445.00,683.00,312.00,544.00,0.00,0.00
690.02,445.00,683.00,312.00,544.00,0.00,0.00
689.36,445.00,683.00,312.00,544.00,0.00,0.00
688.68,445.00,683.00,312.00,544.00,0.00,0.00
687.98,445.00,683.00,312.00,544.00,0.00,0.00
687.27,445.00,683.00,312.00,544.00,0.00,0.00
