TO,LH,RH,LK,RK,LA,RA
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,587.00,412.00,712.00,407.00,542.00
407.00,387.00,562.00,412.00,712.00,407.00,542.00
407.00,387.00,562.00,412.00,712.00,407.00,567.00
407.00,412.00,562.00,412.00,712.00,407.00,567.00
407.00,412.00,562.00,312.00,712.00,407.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
407.00,412.00,562.00,312.00,712.00,507.00,567.00
